Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Plant Sciences	111	LICHENOLOGIST	LICHENOLOGIST	0024-2829	1,403	1.510	1.354	1.405	0.837	43	11.1	12.2	0.001250	0.366	100.00	36.974	0.14878
Plant Sciences	112	SOUTH AFRICAN JOURNAL OF BOTANY	S AFR J BOT	0254-6299	3,430	1.504	1.384	1.591	0.387	238	6.3	10.2	0.004040	0.317	96.64	51.096	0.48013
Plant Sciences	113	PhytoKeys	PHYTOKEYS	1314-2011	615	1.500	1.268	1.351	0.483	118	2.8	16.2	0.001820	0.381	98.31	50.658	0.21621
Plant Sciences	114	ECONOMIC BOTANY	ECON BOT	0013-0001	2,638	1.481	1.167	1.463	0.304	23	21.3	11.7	0.000630	0.355	82.61	50.219	0.07584
Plant Sciences	115	PLANT PROTECTION SCIENCE	PLANT PROTECT SCI	1212-2580	378	1.464	1.377	1.272	0.200	35	5.1	11.3	0.000620	0.291	100.00	54.947	0.07406
Plant Sciences	116	IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT	IN VITRO CELL DEV-PL	1054-5476	2,195	1.454	1.308	1.359	0.410	61	11.4	10.0	0.001340	0.269	95.08	23.489	0.15995
Plant Sciences	117	INTERNATIONAL JOURNAL OF PLANT SCIENCES	INT J PLANT SCI	1058-5893	3,910	1.425	1.308	1.782	0.281	57	12.9	13.8	0.002660	0.565	96.49	48.904	0.31634
Plant Sciences	118	FLORA	FLORA	0367-2530	2,950	1.423	1.250	1.544	0.776	143	8.6	12.7	0.002660	0.394	97.90	39.934	0.31597
Plant Sciences	119	SOIL SCIENCE AND PLANT NUTRITION	SOIL SCI PLANT NUTR	0038-0768	3,205	1.415	1.170	1.737	0.337	89	11.8	11.8	0.001930	0.351	98.88	32.990	0.23038
Plant Sciences	120	BIOLOGIA PLANTARUM	BIOL PLANTARUM	0006-3134	3,605	1.384	1.282	1.714	0.352	88	11.2	9.5	0.002340	0.362	90.91	47.588	0.27807
Plant Sciences	120	WEED TECHNOLOGY	WEED TECHNOL	0890-037X	3,473	1.384	0.991	1.602	0.374	107	12.0	10.0	0.002420	0.364	100.00	53.288	0.28857
Plant Sciences	122	CRYPTOGAMIE ALGOLOGIE	CRYPTOGAMIE ALGOL	0181-1568	477	1.361	1.278	1.525	0.333	27	8.3	13.7	0.000540	0.413	96.30	45.809	0.06420
Plant Sciences	122	JOURNAL OF BRYOLOGY	J BRYOL	0373-6687	938	1.361	0.867	1.325	0.511	45	10.7	12.8	0.000700	0.262	100.00	46.711	0.08347
Plant Sciences	124	BOTHALIA	BOTHALIA	0006-8241	446	1.340	1.245	0.907	0.440	25	19.6	11.0	0.000260	0.204	80.00	45.833	0.03112
Plant Sciences	125	Phytochemistry Letters	PHYTOCHEM LETT	1874-3900	2,246	1.338	1.247	1.506	0.292	233	4.0	10.3	0.004520	0.319	98.28	32.124	0.53703
Plant Sciences	126	SEED SCIENCE RESEARCH	SEED SCI RES	0960-2585	1,606	1.329	1.151	1.855	0.400	30	13.5	12.1	0.001030	0.454	73.33	44.956	0.12247
Plant Sciences	127	Botany	BOTANY	1916-2790	1,623	1.315	1.281	1.865	0.122	74	6.6	12.3	0.002700	0.543	100.00	44.518	0.32113
Plant Sciences	128	GENETIC RESOURCES AND CROP EVOLUTION	GENET RESOUR CROP EV	0925-9864	3,323	1.296	1.146	1.423	0.329	164	9.3	12.0	0.002680	0.302	98.78	50.410	0.31879
Plant Sciences	129	Plant Pathology Journal	PLANT PATHOLOGY J	1598-2254	965	1.294	1.184	1.705	0.197	61	5.6	9.9	0.001510	0.380	96.72	53.517	0.17999
Plant Sciences	130	TUEXENIA	TUEXENIA	0722-494X	214	1.267	0.822	1.147	0.583	24	4.6	11.3	0.000270	0.207	100.00	43.202	0.03310
Plant Sciences	131	Plant Biotechnology Reports	PLANT BIOTECHNOL REP	1863-5466	694	1.259	1.074	1.645	0.378	37	5.7	8.9	0.001160	0.400	83.78	28.326	0.13824
Plant Sciences	131	SYSTEMATIC BOTANY	SYST BOT	0363-6445	2,745	1.259	1.171	1.420	0.125	88	11.4	12.9	0.002910	0.450	100.00	28.882	0.34603
Plant Sciences	133	JOURNAL OF PLANT BIOLOGY	J PLANT BIOL	1226-9239	1,115	1.254	1.238	1.730	0.146	41	7.7	9.2	0.001440	0.422	78.05	41.886	0.17159
Plant Sciences	133	Tropical Plant Pathology	TROP PLANT PATHOL	1983-2052	606	1.254	1.153	1.131	0.176	68	5.1	11.1	0.001140	0.283	98.53	41.886	0.13608
Plant Sciences	135	PALYNOLOGY	PALYNOLOGY	0191-6122	847	1.253	1.115	1.571	1.160	50	9.7	21.2	0.000910	0.444	98.00	41.996	0.10858
Plant Sciences	136	PLANT BREEDING	PLANT BREEDING	0179-9541	3,402	1.251	1.163	1.592	0.255	94	11.0	11.1	0.002700	0.404	91.49	35.906	0.32169
Plant Sciences	137	Applications in Plant Sciences	APPL PLANT SCI	2168-0450	702	1.232	1.079	1.389	0.494	87	3.6	6.9	0.002320	0.377	94.25	40.132	0.27667
Plant Sciences	138	Records of Natural Products	REC NAT PROD	1307-6167	736	1.205	1.006	1.171	0.391	69	4.4	9.2	0.001060	0.218	91.30	28.909	0.12612
Plant Sciences	139	CARYOLOGIA	CARYOLOGIA	0008-7114	1,007	1.174	0.674	1.147	0.379	58	11.0	14.7	0.000630	0.206	98.28	27.529	0.07497
Plant Sciences	140	Plant Ecology & Diversity	PLANT ECOL DIVERS	1755-0874	760	1.173	1.071	1.734	0.233	43	5.4	10.3	0.001830	0.551	97.67	38.816	0.21795
Plant Sciences	141	JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH	J ASIAN NAT PROD RES	1028-6020	2,245	1.170	1.092	1.199	0.533	135	6.7	8.3	0.002560	0.247	100.00	22.520	0.30459
Plant Sciences	142	Phytotaxa	PHYTOTAXA	1179-3155	4,491	1.168	0.768	1.131	0.277	851	3.2	19.8	0.011120	0.249	99.88	37.939	1.32127
Plant Sciences	143	AUSTRALIAN JOURNAL OF BOTANY	AUST J BOT	0067-1924	3,270	1.164	1.090	1.950	0.048	63	14.8	12.5	0.002360	0.531	100.00	37.500	0.28065
Plant Sciences	144	Willdenowia	WILLDENOWIA	0511-9618	670	1.156	1.016	1.034	0.161	31	11.3	17.7	0.000680	0.297	100.00	37.061	0.08154
Plant Sciences	145	NEW ZEALAND JOURNAL OF BOTANY	NEW ZEAL J BOT	0028-825X	1,084	1.118	0.971	1.065	0.200	30	22.8	15.4	0.000520	0.258	96.67	36.623	0.06190
Plant Sciences	146	Acta Botanica Brasilica	ACTA BOT BRAS	0102-3306	1,704	1.112	1.021	1.091	0.189	74	10.0	12.2	0.001410	0.285	94.59	36.184	0.16754
Plant Sciences	147	ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	ACTA BIOL CRACOV BOT	0001-5296	522	1.111	1.000	1.000	0.333	15	9.4	12.9	0.000390	0.235	100.00	35.746	0.04650
Plant Sciences	148	AUSTRALASIAN PLANT PATHOLOGY	AUSTRALAS PLANT PATH	0815-3191	1,752	1.106	1.035	1.360	0.235	68	9.6	11.0	0.001540	0.324	86.76	35.307	0.18351
Plant Sciences	148	JOURNAL OF APPLIED BOTANY AND FOOD QUALITY	J APPL BOT FOOD QUAL	1439-040X	537	1.106	1.059	1.327	0.167	42	5.9	9.3	0.000720	0.270	100.00	35.307	0.08559
Plant Sciences	150	JOURNAL OF PHYTOPATHOLOGY	J PHYTOPATHOL	0931-1785	2,567	1.097	1.048	1.017	0.278	90	11.2	11.7	0.001780	0.227	98.89	34.430	0.21257
Plant Sciences	151	CRYPTOGAMIE BRYOLOGIE	CRYPTOGAMIE BRYOL	1290-0796	468	1.095	0.857	1.470	0.268	41	6.1	12.5	0.000700	0.358	100.00	33.991	0.08381
Plant Sciences	152	TURKISH JOURNAL OF BOTANY	TURK J BOT	1300-008X	1,192	1.087	0.969	1.247	0.391	69	6.0	11.9	0.001720	0.285	98.55	33.553	0.20456
Plant Sciences	153	AMERICAN FERN JOURNAL	AM FERN J	0002-8444	620	1.067	0.967	1.164	0.214	14	20.6	12.4	0.000330	0.349	100.00	33.114	0.03996
Plant Sciences	154	NOVA HEDWIGIA	NOVA HEDWIGIA	0029-5035	2,019	1.058	1.007	1.002	0.678	59	14.2	15.3	0.001480	0.277	98.31	32.675	0.17691
Plant Sciences	155	FOLIA GEOBOTANICA	FOLIA GEOBOT	1211-9520	1,063	1.046	1.031	1.571	0.419	31	12.8	11.3	0.000920	0.454	100.00	32.237	0.10971
Plant Sciences	156	ACTA AMAZONICA	ACTA AMAZON	0044-5967	1,521	1.042	1.010	1.100	0.043	47	11.5	10.2	0.000960	0.281	100.00	32.408	0.11482
Plant Sciences	157	AUSTRALIAN SYSTEMATIC BOTANY	AUST SYST BOT	1030-1887	708	1.039	0.922	1.433	0.757	37	12.1	13.5	0.000720	0.433	97.30	20.180	0.08620
Plant Sciences	158	JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY	J PLANT BIOCHEM BIOT	0971-7811	610	1.038	0.962	1.129	0.208	48	5.9	10.6	0.000860	0.240	95.83	19.403	0.10238
Plant Sciences	159	HERZOGIA	HERZOGIA	0018-0971	401	1.030	0.670	1.024	0.299	67	5.0	11.9	0.000510	0.192	100.00	30.482	0.06161
Plant Sciences	160	PHYTOPARASITICA	PHYTOPARASITICA	0334-2123	1,299	1.022	0.963	1.284	0.338	68	9.0	11.9	0.001450	0.309	95.59	30.044	0.17236
Plant Sciences	161	Plant Ecology and Evolution	PLANT ECOL EVOL	2032-3913	383	1.015	0.985	1.249	0.250	36	4.9	14.2	0.000850	0.348	100.00	29.605	0.10095
Plant Sciences	162	WEED BIOLOGY AND MANAGEMENT	WEED BIOL MANAG	1444-6162	477	1.000	0.882	0.931	0.150	20	10.3	11.9	0.000290	0.224	90.00	36.774	0.03555
Plant Sciences	163	CANADIAN JOURNAL OF PLANT SCIENCE	CAN J PLANT SCI	0008-4220	4,247	0.986	0.843	1.178	0.256	125	15.0	12.1	0.002230	0.275	99.20	35.431	0.26540
Plant Sciences	164	ACTA BOTANICA CROATICA	ACTA BOT CROAT	0365-0588	355	0.985	0.939	1.006	0.167	30	6.7	13.0	0.000530	0.251	96.67	28.289	0.06351
Plant Sciences	165	Tropical Plant Biology	TROP PLANT BIOL	1935-9756	335	0.975	0.850	1.274	0.267	15	6.8	7.9	0.000290	0.268	100.00	27.851	0.03531
Plant Sciences	166	Brazilian Journal of Botany	BRAZ J BOT	0100-8404	1,622	0.958	0.907	0.995	0.244	86	11.5	11.4	0.001120	0.214	94.19	27.412	0.13412
Plant Sciences	167	Lazaroa	LAZAROA	0210-9778	147	0.947	0.947	1.261	Not Available	0	11.7	Not Available	0.000210	0.346	Not Available	26.974	0.02497
Plant Sciences	168	Journal of Plant Diseases and Protection	J PLANT DIS PROTECT	1861-3829	527	0.946	0.884	0.889	0.412	68	8.4	10.9	0.000560	0.205	89.71	34.250	0.06680
Plant Sciences	169	RUSSIAN JOURNAL OF PLANT PHYSIOLOGY	RUSS J PLANT PHYSL+	1021-4437	1,671	0.940	0.815	0.965	0.149	101	8.7	9.9	0.001180	0.173	90.10	26.096	0.14091
Plant Sciences	170	Annali di Botanica	ANN BOT-COENOL PLANT	0365-0812	106	0.938	0.813	Not Available	0.111	9	5.6	16.0	0.000200	Not Available	100.00	17.529	0.02394
Plant Sciences	171	Botanical Sciences	BOT SCI	2007-4298	301	0.936	0.853	0.974	0.047	43	3.7	12.5	0.000810	0.227	100.00	25.219	0.09673
Plant Sciences	172	Indian Journal of Traditional Knowledge	INDIAN J TRADIT KNOW	0972-5938	1,202	0.920	0.457	0.844	0.333	102	7.7	9.1	0.000690	0.106	97.06	24.781	0.08196
Plant Sciences	173	BOTANICA MARINA	BOT MAR	0006-8055	2,175	0.919	0.778	1.336	0.346	52	16.4	10.9	0.000930	0.299	94.23	25.828	0.11158
Plant Sciences	174	ISRAEL JOURNAL OF PLANT SCIENCES	ISR J PLANT SCI	0792-9978	454	0.908	0.862	0.905	0.286	21	11.7	11.4	0.000260	0.192	66.67	23.904	0.03169
Plant Sciences	175	GRANA	GRANA	0017-3134	1,173	0.907	0.815	1.208	0.321	28	19.2	13.9	0.000550	0.320	100.00	23.465	0.06534
Plant Sciences	176	NORDIC JOURNAL OF BOTANY	NORD J BOT	0107-055X	1,359	0.890	0.735	0.827	0.148	142	10.0	14.7	0.001650	0.244	100.00	23.026	0.19606
