Journal Data Filtered By: Selected Categories: ZM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
ANNALES ZOOLOGICI FENNICI,0003-455X,1797-2450,"ZOOLOGY - SCIE","1,845",1.324,"Q3",0.51,0.00%,1.347,1.297,0.286,0.00043,0.09026,0.355,31.059,13,13.0,17.2,92.86%,14,
ZOOLOGICAL STUDIES,1021-5506,1810-522X,"ZOOLOGY - SCIE","1,832",2.058,"Q2",0.94,0.00%,1.786,1.606,0.914,0.00117,0.24546,0.443,70.000,69,14.3,9.8,98.57%,70,
RAFFLES BULLETIN OF ZOOLOGY,0217-2445,N/A,"ZOOLOGY - SCIE","1,807",1.267,"Q3",0.64,0.00%,1.199,1.119,0.443,0.00111,0.23265,0.330,40.857,65,16.0,11.2,92.86%,70,
AMPHIBIA-REPTILIA,0173-5373,1568-5381,"ZOOLOGY - SCIE","1,801",1.839,"Q2",0.87,6.02%,1.546,1.724,0.848,0.00100,0.20987,0.409,63.143,44,12.4,12.2,95.65%,46,
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,0932-0814,2567-6911,"ZOOLOGY - SCIE","1,786",1.358,"Q3",0.67,0.00%,1.453,1.082,0.269,0.00095,0.19917,0.265,44.518,93,11.1,9.4,100.00%,93,
COMPARATIVE MEDICINE,1532-0820,1532-0820,"ZOOLOGY - SCIE","1,785",0.982,"Q3",0.61,0.00%,1.347,0.936,0.125,0.00103,0.21630,0.341,30.124,56,9.8,11.4,100.00%,56,
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1552-5007,1552-5015,"ZOOLOGY - SCIE","1,765",2.656,"Q1",0.71,5.56%,2.473,2.508,0.538,0.00152,0.32005,0.717,61.674,52,12.1,9.4,80.00%,65,
FOLIA PRIMATOLOGICA,0015-5713,1421-9980,"ZOOLOGY - SCIE","1,755",1.246,"Q3",0.70,3.00%,1.525,1.158,0.535,0.00056,0.11885,0.396,39.143,40,14.4,22.4,93.02%,43,
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077,"ZOOLOGY - SCIE","1,727",2.940,"Q1",1.05,19.66%,2.709,2.851,0.520,0.00201,0.42311,0.891,72.357,49,12.7,8.3,98.00%,50,
ACTA PARASITOLOGICA,1230-2821,1896-1851,"ZOOLOGY - SCIE","1,719",1.440,"Q3",0.65,5.97%,1.335,1.356,0.306,0.00178,0.37403,0.316,39.800,173,10.7,6.5,93.01%,186,
MAMMALIA,0025-1461,1864-1547,"ZOOLOGY - SCIE","1,673",0.944,"Q3",0.51,0.00%,1.003,0.869,0.521,0.00085,0.17812,0.223,26.000,72,13.7,15.2,98.63%,73,
PACIFIC SCIENCE,0030-8870,1534-6188,"ZOOLOGY - SCIE","1,656",1.101,"Q3",0.49,0.00%,0.916,1.029,0.063,0.00043,0.09018,0.234,28.760,32,13.0,21.3,100.00%,32,
EXPERIMENTAL ANIMALS,1341-1357,1881-7122,"ZOOLOGY - SCIE","1,584",2.319,"Q1",1.03,0.61%,2.284,2.221,0.519,0.00133,0.28031,0.506,77.813,49,10.2,8.7,94.23%,52,
ZOOLOGICHESKY ZHURNAL,0044-5134,N/A,"ZOOLOGY - SCIE","1,546",0.298,"Q4",0.17,0.00%,0.277,0.240,0.188,0.00048,0.10181,0.072,1.429,101,17.5,24.8,100.00%,101,
AQUATIC MAMMALS,0167-5427,N/A,"ZOOLOGY - SCIE","1,544",1.382,"Q3",0.58,0.00%,1.383,1.195,0.300,0.00101,0.21175,0.348,39.136,60,13.9,11.9,100.00%,60,
