"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"ENVIRONMENTAL FLUID MECHANICS","ENVIRON FLUID MECH","1567-7419","1573-1510","OCEANOGRAPHY - SCIE","1,841","2.618","Q2","0.66","16"%," 30/66 ","2.577","2.493","0.333"," 38/68 ","44.85","0.002","0.446","0.65","55.3","Q2","48","95.83"%,"6.2","13.9","46",
"Journal of Ocean University of China","J OCEAN U CHINA","1672-5182","1993-5021","OCEANOGRAPHY - SCIE","1,770","1.179","Q4","0.35","0"%," 52/66 ","1.225","1.138","0.176"," 53/68 ","22.79","0.002","0.321","0.21","21.97","Q4","159","99.37"%,"5.6","10.6","158",
"MARINE GEOPHYSICAL RESEARCH","MAR GEOPHYS RES","0025-3235","1573-0581","OCEANOGRAPHY - SCIE","1,588","2.5","Q2","0.93","10.78"%," 33/66 ","2.959","2.323","0.175"," 22/68 ","68.38","0.001","0.218","0.737","50.76","Q2","40","100"%,"11.9","13","40",
"OCEANOLOGIA","OCEANOLOGIA","0078-3234","2300-7370","OCEANOGRAPHY - SCIE","1,532","2.526","Q2","0.88","98.5"%," 32/66 ","2.778","2.442","0.921"," 28/68 ","59.56","0.001","0.245","0.536","52.27","Q3","38","100"%,"7","12.8","38",
"OCEANOLOGY","OCEANOLOGY+","0001-4370","1531-8508","OCEANOGRAPHY - SCIE","1,528","0.942","Q4","0.23","1.68"%," 57/66 ","0.979","0.702","0.311"," 61/68 ","11.03","0.001","0.195","0.204","14.39","Q4","106","100"%,"9.8","13.7","106",
"ATMOSPHERE-OCEAN","ATMOS OCEAN","0705-5900","1480-9214","OCEANOGRAPHY - SCIE","1,526","1.957","Q3","0.53","18.84"%," 43/66 ","2.148","1.851","0.136"," 45/68 ","34.56","0.001","0.165","0.635","35.61","Q3","22","95.45"%,"14.7","9.9","21",
"Paleoceanography and Paleoclimatology","PALEOCEANOGR PALEOCL","2572-4517","2572-4525","OCEANOGRAPHY - SCIE","1,479","3.992","Q1","1.2","30.95"%," 11/66 ","3.973","3.272","0.98"," 11/68 ","84.56","0.005","1.047","1.553","84.09","Q1","148","100"%,"2.3","11.6","148",
"IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS","IZV ATMOS OCEAN PHY+","0001-4338","1555-628X","OCEANOGRAPHY - SCIE","1,460","0.831","Q4","0.22","0.43"%," 59/66 ","0.769","0.544","0.149"," 63/68 ","8.09","0.001","0.228","0.153","11.36","Q4","134","100"%,"7.7","12.2","134",
"DYNAMICS OF ATMOSPHERES AND OCEANS","DYNAM ATMOS OCEANS","0377-0265","1872-6879","OCEANOGRAPHY - SCIE","1,448","2.049","Q3","0.49","10.08"%," 41/66 ","1.96","1.951","0.328"," 47/68 ","31.62","0.001","0.206","0.585","38.64","Q3","58","98.28"%,"13.1","10.8","57",
"Indian Journal of Geo-Marine Sciences","INDIAN J GEO-MAR SCI","0379-5136","0975-1033","OCEANOGRAPHY - SCIE","1,389","0.553","Q4","0.16","0"%," 64/66 ","0.58","0.503","0.092"," 66/68 ","3.68","0.001","0.245","0.091","3.79","Q4","118","100"%,"5.4","13","118",
