Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
75	Ecology and Evolution	ECOL EVOL	2045-7758	9,915	2.415	2.266	2.855	0.384	1,065	3.3	10.1	0.036680	0.924	98.12	50.787	4.35673
76	BMC ECOLOGY	BMC ECOL	1472-6785	1,174	2.381	2.330	2.922	0.276	58	6.1	10.6	0.002280	0.894	98.28	53.963	0.27083
77	JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	J EXP MAR BIOL ECOL	0022-0981	16,282	2.365	2.272	2.308	0.681	141	13.4	12.7	0.009950	0.689	100.00	63.482	1.18200
78	MARINE ECOLOGY PROGRESS SERIES	MAR ECOL PROG SER	0171-8630	39,386	2.359	2.122	2.715	0.657	405	13.1	11.1	0.024460	0.809	98.52	63.779	2.90551
79	PALEOBIOLOGY	PALEOBIOLOGY	0094-8373	3,874	2.354	2.089	2.839	0.524	42	18.5	12.9	0.002740	1.081	100.00	63.035	0.32559
80	Freshwater Science	FRESHW SCI	2161-9549	1,734	2.344	2.169	2.731	0.300	70	4.2	11.6	0.005650	0.812	100.00	61.642	0.67113
81	Ecological Informatics	ECOL INFORM	1574-9541	1,881	2.310	2.179	2.493	0.500	100	4.7	8.8	0.003840	0.645	100.00	50.915	0.45723
82	JOURNAL FOR NATURE CONSERVATION	J NAT CONSERV	1617-1381	1,513	2.289	2.156	2.476	0.634	82	5.4	8.6	0.002780	0.665	90.24	56.618	0.33092
83	Journal of Plant Ecology	J PLANT ECOL	1752-9921	1,613	2.282	2.178	2.239	0.854	89	5.6	11.8	0.002950	0.644	96.63	58.510	0.35142
84	AoB Plants	AOB PLANTS	2041-2851	1,571	2.270	2.209	2.849	0.329	82	3.7	10.9	0.004990	0.826	96.34	57.766	0.59364
85	EUROPEAN JOURNAL OF SOIL BIOLOGY	EUR J SOIL BIOL	1164-5563	3,139	2.244	2.104	2.763	0.310	58	7.9	9.0	0.003180	0.621	100.00	54.952	0.37835
86	JOURNAL OF SOIL AND WATER CONSERVATION	J SOIL WATER CONSERV	0022-4561	4,171	2.175	2.007	2.888	0.350	80	11.8	10.3	0.003030	0.696	98.75	54.344	0.36032
87	BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	BEHAV ECOL SOCIOBIOL	0340-5443	12,209	2.103	1.950	2.309	0.856	188	13.1	11.3	0.010250	0.810	90.43	55.484	1.21836
88	Fire Ecology	FIRE ECOL	1933-9747	600	2.098	1.902	1.929	0.417	24	7.2	9.9	0.000780	0.527	100.00	60.263	0.09340
89	PLANT SPECIES BIOLOGY	PLANT SPEC BIOL	0913-557X	717	2.077	2.015	1.745	0.364	22	8.3	13.9	0.000880	0.426	95.45	54.707	0.10488
90	International Journal for Parasitology-Parasites and Wildlife	INT J PARASITOL-PAR	2213-2244	669	2.075	1.871	Not Available	0.297	64	3.6	11.2	0.002570	Not Available	96.88	52.575	0.30630
91	Diversity-Basel	DIVERSITY-BASEL	****-****	907	2.047	1.835	Not Available	0.288	125	5.5	10.8	0.001590	Not Available	84.80	44.817	0.18953
92	POLAR BIOLOGY	POLAR BIOL	0722-4060	5,910	2.002	1.711	2.028	0.605	215	9.3	11.9	0.006700	0.563	99.53	49.259	0.79602
93	Theoretical Ecology	THEOR ECOL-NETH	1874-1738	723	1.986	1.959	2.011	0.333	36	5.9	13.6	0.002240	0.939	100.00	43.598	0.26674
94	Rangeland Ecology & Management	RANGELAND ECOL MANAG	1550-7424	2,126	1.948	1.584	2.191	0.536	97	7.2	10.4	0.002480	0.514	100.00	42.794	0.29502
95	JOURNAL OF WILDLIFE MANAGEMENT	J WILDLIFE MANAGE	0022-541X	11,095	1.881	1.546	2.134	0.929	156	13.0	12.0	0.005770	0.628	98.72	60.454	0.68630
96	WETLANDS	WETLANDS	0277-5212	4,473	1.854	1.736	2.165	0.321	106	9.7	11.3	0.004090	0.546	96.23	40.184	0.48648
97	PEDOBIOLOGIA	PEDOBIOLOGIA	0031-4056	2,480	1.833	1.783	2.190	0.229	35	13.7	10.2	0.001200	0.579	97.14	41.294	0.14362
98	JOURNAL OF ARID ENVIRONMENTS	J ARID ENVIRON	0140-1963	8,753	1.825	1.751	2.145	0.612	129	11.1	10.9	0.005810	0.524	96.90	38.974	0.69121
99	PLANT ECOLOGY	PLANT ECOL	1385-0237	5,850	1.789	1.692	1.901	0.254	118	11.2	11.6	0.004380	0.540	98.31	53.331	0.52028
100	PHYTOCOENOLOGIA	PHYTOCOENOLOGIA	0340-269X	587	1.750	1.045	1.424	1.111	27	12.7	13.6	0.000320	0.268	66.67	48.502	0.03867
101	Ecological Complexity	ECOL COMPLEX	1476-945X	1,743	1.713	1.556	2.226	0.522	69	7.5	12.1	0.002550	0.674	100.00	38.720	0.30345
102	Aquatic Invasions	AQUAT INVASIONS	1798-6540	1,429	1.705	1.568	2.534	1.364	44	6.8	13.2	0.001890	0.655	93.18	46.138	0.22491
103	ECOHYDROLOGY & HYDROBIOLOGY	ECOHYDROL HYDROBIOL	1642-3593	523	1.661	1.411	Not Available	1.026	38	5.8	8.9	0.000560	Not Available	97.37	38.255	0.06695
104	Journal of Biological Dynamics	J BIOL DYNAM	1751-3758	627	1.642	1.469	1.830	0.250	36	6.3	9.3	0.001070	0.554	100.00	42.598	0.12772
105	THEORETICAL POPULATION BIOLOGY	THEOR POPUL BIOL	0040-5809	3,847	1.559	1.409	1.518	0.754	57	18.7	12.5	0.002470	0.670	100.00	27.538	0.29450
106	ECOLOGICAL RESEARCH	ECOL RES	0912-3814	3,329	1.546	1.464	1.618	0.675	114	9.7	11.4	0.003040	0.457	99.12	35.671	0.36187
107	POPULATION ECOLOGY	POPUL ECOL	1438-3896	1,216	1.512	1.500	1.725	0.733	30	8.1	12.5	0.001950	0.608	90.00	35.061	0.23267
108	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	ACTA OECOL	1146-609X	3,091	1.478	1.433	1.793	0.480	98	9.6	11.6	0.002760	0.487	97.96	34.451	0.32784
109	Landscape and Ecological Engineering	LANDSC ECOL ENG	1860-1871	431	1.469	1.102	1.113	0.400	25	7.1	10.9	0.000390	0.212	100.00	39.766	0.04734
110	Regional Studies in Marine Science	REG STUD MAR SCI	2352-4855	491	1.462	1.353	1.522	0.378	135	2.3	12.1	0.001230	0.322	97.78	40.458	0.14611
