"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
104,ISJ-Invertebrate Survival Journal,ISJ-INVERT SURVIV J,1824-307X,467,0.967,0.791,1.000,0.152,33,7.1,10.3,0.000520,0.224,90.91,21.616,0.06248
105,ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,403,0.966,0.931,1.236,0.280,25,6.6,13.2,0.000700,0.379,100.00,19.736,0.08331
106,AFRICAN ZOOLOGY,AFR ZOOL,1562-7020,486,0.962,0.846,0.957,0.118,17,7.7,12.5,0.000630,0.295,100.00,37.941,0.07505
107,AUSTRALIAN MAMMALOGY,AUST MAMMAL,0310-0049,484,0.955,0.701,0.916,0.318,44,8.1,12.6,0.000490,0.210,100.00,37.353,0.05890
108,AMPHIBIA-REPTILIA,AMPHIBIA-REPTILIA,0173-5373,"1,429",0.943,0.915,1.393,0.214,42,11.4,11.4,0.001300,0.401,92.86,36.765,0.15531
109,European Zoological Journal,EUR ZOOL J,2475-0263,63,0.942,0.846,0.942,0.341,41,Not Available,12.7,0.000160,0.244,92.68,36.176,0.01994
110,Comparative Cytogenetics,COMP CYTOGENET,1993-0771,333,0.882,0.627,1.065,0.345,29,4.6,13.2,0.000770,0.295,96.55,22.351,0.09256
111,HERPETOLOGICAL JOURNAL,HERPETOL J,0268-0130,760,0.875,0.850,1.081,0.080,25,10.5,12.7,0.000780,0.323,96.00,35.000,0.09374
112,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,ICHTHYOL EXPLOR FRES,0936-9902,594,0.872,0.766,0.943,0.429,7,11.9,18.0,0.000660,0.359,100.00,29.011,0.07886
113,PACIFIC SCIENCE,PAC SCI,0030-8870,"1,489",0.861,0.778,1.219,0.351,37,17.0,12.7,0.000910,0.354,100.00,27.791,0.10889
114,ZOOLOGICAL SCIENCE,ZOOL SCI,0289-0003,"2,490",0.846,0.832,0.934,0.169,65,13.0,13.5,0.001940,0.302,98.46,33.235,0.23064
115,MOLLUSCAN RESEARCH,MOLLUSCAN RES,1323-5818,269,0.845,0.810,0.785,0.323,31,7.4,14.5,0.000400,0.228,100.00,32.647,0.04830
116,North-Western Journal of Zoology,NORTH-WEST J ZOOL,1584-9074,403,0.843,0.775,0.827,0.175,40,5.0,12.5,0.000910,0.244,97.50,32.059,0.10886
117,JOURNAL OF NATURAL HISTORY,J NAT HIST,0022-2933,"3,490",0.837,0.773,0.894,0.444,144,13.8,17.6,0.002920,0.307,98.61,21.876,0.34695
118,CYBIUM,CYBIUM,0399-0974,991,0.812,0.635,0.816,0.167,48,13.9,16.3,0.000540,0.210,100.00,30.882,0.06449
119,VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,VET COMP ORTHOPAED,0932-0814,"1,216",0.810,0.592,0.987,0.141,71,8.6,11.9,0.001250,0.257,100.00,35.537,0.14950
120,RECORDS OF THE AUSTRALIAN MUSEUM,REC AUST MUS,0067-1975,553,0.800,0.800,0.560,0.000,8,27.4,46.3,0.000130,0.201,62.50,29.706,0.01577
121,PAKISTAN JOURNAL OF ZOOLOGY,PAK J ZOOL,0030-9923,"1,621",0.790,0.377,0.713,0.229,319,4.6,11.7,0.001980,0.113,99.37,29.118,0.23540
122,CHELONIAN CONSERVATION AND BIOLOGY,CHELONIAN CONSERV BI,1071-8443,735,0.773,0.636,0.941,0.061,33,10.8,11.1,0.000540,0.245,96.97,28.529,0.06530
123,Zoologia,ZOOLOGIA-CURITIBA,1984-4689,727,0.743,0.703,0.897,0.143,49,6.9,13.9,0.001200,0.277,100.00,27.941,0.14357
124,AMERICAN MALACOLOGICAL BULLETIN,AM MALACOL BULL,0740-2783,522,0.741,0.722,1.008,0.067,15,10.5,13.3,0.000520,0.301,100.00,21.778,0.06277
125,MAMMALIA,MAMMALIA,0025-1461,"1,235",0.732,0.650,0.794,0.321,81,14.7,13.8,0.000990,0.229,96.30,26.765,0.11857
126,African Journal of Wildlife Research,AFR J WILDL RES,2410-7220,53,0.731,0.731,0.879,0.125,16,Not Available,10.6,0.000180,0.244,100.00,19.033,0.02219
126,HELMINTHOLOGIA,HELMINTHOLOGIA,0440-6605,467,0.731,0.625,0.634,0.116,43,8.0,11.7,0.000560,0.169,95.35,17.949,0.06744
128,ZOOLOGICAL STUDIES,ZOOL STUD,1021-5506,"1,261",0.726,0.674,1.042,0.133,60,9.3,15.3,0.001160,0.311,98.33,25.000,0.13796
